Week Ending,Provider State,Residents Total Admissions COVID-19,Residents Total Confirmed COVID-19,Residents Total Suspected COVID-19,Residents Total All Deaths,Residents Total COVID-19 Deaths,Number of All Beds,Total Number of Occupied Beds,COVID-19 Point-of-Care Tests Performed on Residents Since Last Report,COVID-19 Point-of-Care Tests Performed on Staff and/or Personnel Since Last Report,Staff Total Confirmed COVID-19,Staff Total Suspected COVID-19,Staff Total COVID-19 Deaths,Number of Ventilators in Facility,Number of Ventilators in Use for COVID-19,"Total Resident Confirmed COVID-19 Cases Per 1,000 Residents","Total Resident COVID-19 Deaths Per 1,000 Residents",Total Residents COVID-19 Deaths as a Percentage of Confirmed COVID-19 Cases
2020-05-31,WY,9.0,14.0,20.0,90.0,3.0,2734.0,2086.0,0.0,0.0,14.0,65.0,0.0,0.0,0.0,237.3,50.8,21.4
2020-06-07,AK,1.0,19.0,23.0,17.0,0.0,763.0,657.0,0.0,0.0,20.0,42.0,0.0,0.0,0.0,553.2,0.0,0.0
2020-06-07,AL,312.0,1396.0,1105.0,1465.0,286.0,26137.0,20384.0,0.0,0.0,938.0,1373.0,5.0,25.0,0.0,19748.899999999998,4524.2,1650.4999999999995
2020-06-07,AR,65.0,460.0,722.0,881.0,61.0,23436.0,15974.0,0.0,0.0,309.0,476.0,0.0,0.0,0.0,7832.5,1191.9,183.00000000000003
2020-06-07,AZ,465.0,626.0,427.0,793.0,150.0,15707.0,10926.0,0.0,0.0,471.0,507.0,1.0,273.0,12.0,9556.4,2039.6000000000001,1616.2999999999995
2020-06-07,CA,3177.0,7614.0,7853.0,6321.0,1799.0,114482.0,88858.0,0.0,0.0,5108.0,4552.0,38.0,3078.0,383.0,105103.99999999999,26532.4,21217.59999999995
2020-06-07,CO,379.0,1018.0,778.0,1207.0,390.0,19973.0,14967.0,0.0,0.0,821.0,729.0,4.0,27.0,3.0,15769.000000000002,6309.399999999999,2713.4
2020-06-07,CT,1628.0,6080.0,2415.0,3292.0,1740.0,24244.0,17580.0,0.0,0.0,2610.0,1208.0,12.0,44.0,0.0,70791.19999999998,20351.69999999999,4949.3
2020-06-07,DC,175.0,439.0,255.0,175.0,82.0,2474.0,1765.0,0.0,0.0,224.0,79.0,6.0,20.0,0.0,4135.8,961.3000000000001,427.4
2020-06-07,DE,176.0,706.0,290.0,390.0,214.0,4863.0,3314.0,0.0,0.0,347.0,210.0,1.0,7.0,0.0,8350.100000000002,2792.4,950.6999999999998
2020-06-07,FL,1184.0,2613.0,1738.0,2831.0,707.0,79904.0,63953.0,0.0,0.0,2103.0,1744.0,1.0,169.0,18.0,30623.199999999993,8538.700000000003,7443.500000000003
2020-06-07,GA,919.0,3162.0,2144.0,1886.0,618.0,37626.0,28716.0,0.0,0.0,1642.0,1199.0,4.0,116.0,20.0,39178.99999999998,7913.9000000000015,7138.300000000002
2020-06-07,GU,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-07,HI,1.0,1.0,140.0,113.0,0.0,4211.0,3476.0,0.0,0.0,3.0,131.0,0.0,90.0,20.0,5.0,0.0,0.0
2020-06-07,IA,218.0,911.0,1091.0,1249.0,265.0,28785.0,21054.0,0.0,0.0,634.0,1709.0,12.0,93.0,18.0,18573.800000000007,5443.7,2495.2
2020-06-07,ID,10.0,58.0,51.0,145.0,14.0,5921.0,3820.0,0.0,0.0,60.0,83.0,0.0,9.0,0.0,1667.1999999999998,406.90000000000003,45.9
2020-06-07,IL,3149.0,7570.0,3797.0,4918.0,2087.0,87100.0,56785.0,0.0,0.0,4564.0,3101.0,32.0,400.0,66.0,88359.79999999999,25321.7,13549.200000000003
2020-06-07,IN,661.0,2793.0,1326.0,1783.0,857.0,41873.0,33731.0,0.0,0.0,1489.0,1010.0,13.0,207.0,9.0,45738.6,15212.800000000003,8114.800000000002
2020-06-07,KS,116.0,256.0,468.0,649.0,73.0,20681.0,16395.0,0.0,0.0,215.0,786.0,0.0,25.0,0.0,4647.2,1402.2000000000003,1119.1000000000001
2020-06-07,KY,347.0,1032.0,659.0,998.0,240.0,26157.0,20689.0,0.0,0.0,559.0,688.0,6.0,227.0,39.0,15233.999999999998,3913.0,1215.7
2020-06-07,LA,1024.0,2972.0,868.0,2001.0,854.0,33173.0,22749.0,0.0,0.0,1697.0,675.0,16.0,155.0,30.0,37104.0,10865.400000000001,5560.900000000003
2020-06-07,MA,2456.0,9739.0,3127.0,4982.0,3131.0,42661.0,29454.0,0.0,0.0,5443.0,1456.0,17.0,105.0,8.0,132293.5999999999,41907.00000000001,19287.49999999999
2020-06-07,MD,990.0,3800.0,1111.0,2114.0,887.0,25965.0,18956.0,0.0,0.0,1976.0,915.0,11.0,326.0,14.0,51163.29999999998,12700.1,5367.9
2020-06-07,ME,26.0,141.0,259.0,375.0,23.0,6609.0,5424.0,0.0,0.0,118.0,337.0,0.0,7.0,0.0,2626.2,424.3,84.6
2020-06-07,MI,2005.0,3269.0,1626.0,3533.0,1295.0,43197.0,31082.0,0.0,0.0,2493.0,3638.0,31.0,259.0,8.0,53622.99999999997,19490.700000000008,9712.700000000003
2020-06-07,MN,402.0,1476.0,1079.0,1792.0,443.0,27133.0,20822.0,0.0,0.0,1079.0,1852.0,6.0,53.0,40.0,19862.10000000001,6087.999999999999,2834.2999999999997
2020-06-07,MO,420.0,1348.0,1224.0,1686.0,355.0,54255.0,35485.0,0.0,0.0,561.0,1043.0,3.0,3.0,0.0,18694.100000000006,4811.300000000001,4597.400000000001
2020-06-07,MS,194.0,1417.0,668.0,679.0,329.0,17612.0,14952.0,0.0,0.0,866.0,788.0,7.0,29.0,0.0,22623.499999999993,5408.700000000001,2356.2999999999993
